Name_phyl	ECV_T	ECV_OB	ECV_ROB	Activity	Locomotor_Mode	AdultBodyMass	DietBreadth	GestationLen	HomeRange	LitterSize	GR_Area	Se_temp	Se_precip	ST	SP	SeT	SeP	Burrow
Brachylagus_idahoensis	4511.381	117.222	4394.159	Crepuscular	Generalised	431.19	2	38.99	0.8	5.81	506906.1	1.096794652	0.518938152	861.2937975	1551.244377	2.791298306	4.6926226	Yes
Bunolagus_monticularis	11610.645	310.0075	11300.6375	Nocturnal	Saltatorial	1750.01	3	35	12	1.22	37052.01	0.299070081	0.40967117	480.3069656	740.8596829	1.519592336	2.325514191	Yes
Caprolagus_hispidus	12417.79	430.2	11987.59	Nocturnal	Generalised	2496.99	3	40	0.8	3.46	44515.42	0.298217867	1.170526415	499.7485001	17877.71224	1.572683601	38.79575611	Yes
Lepus_americanus	9043.093333	293.615	8749.478333	Crepuscular	Saltatorial	1568.42	3	36.57	5.87	3.54	9501181.22	1.219812683	0.221574846	969.0682564	1571.361256	3.144996407	4.22936624	No
Lepus_californicus	12920.966	447.037	12473.929	Nocturnal	Cursorial	2422.48	2	41.77	109	2.68	4402904.48	0.711259785	0.337817891	829.5801151	1965.988274	2.661365167	5.462985615	No
Lepus_capensis	10099.805	333.785	9766.02	Nocturnal	Cursorial	2047.11	3	41.99	7.4	2.44	21956899.35	0.182096484	0.313962679	352.5790345	2834.40556	1.103491009	7.238779227	Yes
Lepus_saxatilis	10891.7	367.575	10524.125	Nocturnal	Cursorial	2593.63		38.49		1.52	799775.78	0.258151748	0.718156592	402.6953989	3468.80786	1.273110035	9.696171228	No
Lepus_timidus	17120.02	545.0133333	16575.00667	Nocturnal	Saltatorial	3105.42		50.1	206	3.16	19946363.54	0.234587574	0.49184538	396.1251741	1884.634053	1.249932001	5.405029449	Yes
Oryctolagus_cuniculus	12590.18667	460.1966667	12129.99	Diurnal	Saltatorial	1590.57	2	30.45	3	5.24	2293893.27	0.394805933	0.389734262	534.7963828	2199.863905	1.703480154	19.20932822	Yes
Pentalagus_furnessi	12407.64	539.335	11868.305	Nocturnal	Saltatorial	2350	3		1.15	2.44	960.37	0.242669381	0.3242549	514.789601	7976.670529	1.603414544	14.60928668	Yes
Poelagus_marjorita	11434.56667	430.8033333	11003.76333	Nocturnal	Saltatorial	2509.7		34.99	0.002	1.19	1928031.05	0.043356115	0.63959016	105.4408664	6849.415035	0.325057057	16.72376852	No
Pronolagus_randensis	11816.13	392.875	11423.255	Nocturnal	Saltatorial	2376.47	2	30		1.05	680369.23	0.174752032	0.997106728	339.4175679	4720.6238	1.062504042	13.38482228	Yes
Pronolagus_rupestris	9934.8	259.565	9675.235	Nocturnal	Saltatorial	2249.99	2	30		2	1388367.94	0.160196073	0.76039863	306.1026743	4783.32443	0.958938785	12.72354448	No
Romerolagus_diazi	5195.735	166.73	5029.005	Diurnal	Generalised	465.58	2	39.26		2.1	820.7	0.097857286	1.03183822	138.5199763	11195.33558	0.440707468	27.15216558	Yes
Sylvilagus_aquaticus	9965.61	407.425	9558.185	Nocturnal	Saltatorial	2133.34	2	37.24	3.1	3	884825.38	0.477722578	0.364910111	798.5343443	3860.013615	2.521145808	9.48583601	No
Sylvilagus_audubonii	7025.493333	242.3166667	6783.176667	Crepuscular	Saltatorial	880.88	2	28	7	3	3671590.57	0.609792602	0.358227195	690.6142956	1541.523029	2.200903578	4.474319616	Yes
Sylvilagus_obscurus	8590.43	354.61	8235.82	Crepuscular	Saltatorial	900		28	4	3.5	126801.2	0.773485876	0.327106135	791.0453888	3057.531327	2.568890765	7.756399095	Yes
Sylvilagus_palustris	8173.94	358.06	7815.88	Nocturnal	Saltatorial	1355.23	2	33.46	1.2	2.96	360038.77	0.319501262	0.396437132	614.8157064	4219.027319	1.924696042	10.35965675	No
